,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,100,PF,1535670275,100,-23.12,-134.97,66.74,16.26
1,mataura,8,NZ,1535670275,100,-46.19,168.86,48.38,4.74
2,sitka,0,US,1535670267,24,37.17,-99.65,98.51,19.51
3,hilo,90,US,1535666160,64,19.71,-155.08,80.96,9.17
4,ponta do sol,24,BR,1535670366,52,-20.63,-46.0,66.92,5.53
5,chuy,100,UY,1535670270,96,-33.69,-53.46,55.76,18.5
6,luwuk,64,ID,1535670529,93,-0.95,122.79,78.53,3.96
7,lasa,0,CY,1535668200,78,34.92,32.53,78.8,4.7
8,busselton,92,AU,1535670282,100,-33.64,115.35,55.22,7.99
9,krasnyy oktyabr,48,RU,1535670530,90,56.12,38.88,55.58,2.28
10,cape town,0,ZA,1535666400,100,-33.93,18.42,50.0,5.82
11,nikolskoye,88,RU,1535668200,100,59.7,30.79,53.6,2.62
12,yellowknife,75,CA,1535666400,54,62.45,-114.38,57.2,8.05
13,khatanga,80,RU,1535670285,65,71.98,102.47,36.41,17.49
14,hithadhoo,80,MV,1535670301,100,-0.6,73.08,82.76,3.18
15,saint-georges,0,CA,1535670254,72,46.12,-70.67,58.28,3.4
16,bredasdorp,68,ZA,1535666400,88,-34.53,20.04,62.6,3.36
17,bria,88,CF,1535670532,98,6.54,21.99,67.46,3.4
18,port alfred,0,ZA,1535670271,81,-33.59,26.89,66.02,7.54
19,fortuna,40,ES,1535668200,78,38.18,-1.13,78.8,6.93
20,luau,0,CD,1535670532,44,-10.7,22.23,66.02,4.97
21,avarua,40,CK,1535666400,60,-21.21,-159.78,75.2,24.16
22,villa carlos paz,75,AR,1535666400,57,-31.42,-64.5,51.8,17.22
23,quatre cocos,40,MU,1535666400,68,-20.21,57.76,69.8,5.82
24,ushuaia,40,AR,1535666400,100,-54.81,-68.31,37.4,27.51
25,mar del plata,0,AR,1535670291,83,-46.43,-67.52,34.97,2.95
26,hobart,75,AU,1535668200,81,-42.88,147.33,48.2,4.7
27,saskylakh,48,RU,1535670359,93,71.97,114.09,39.83,18.72
28,abilene,40,US,1535669520,32,32.45,-99.73,96.8,11.41
29,iracoubo,0,GF,1535670535,75,5.48,-53.21,79.88,5.53
30,aswan,0,EG,1535666400,24,24.09,32.9,91.4,4.7
31,arraial do cabo,0,BR,1535666400,94,-22.97,-42.02,69.8,14.99
32,itamaraca,40,BR,1535666400,78,-7.75,-34.83,75.2,10.29
33,vardo,40,US,1535669580,79,39.62,-77.74,87.08,2.62
34,albany,75,US,1535669640,68,42.65,-73.75,77.0,8.05
35,wasilla,90,US,1535666280,89,61.58,-149.44,62.96,2.39
36,saint-lo,0,FR,1535668200,87,49.12,-1.09,55.4,1.12
37,sola,0,NO,1535667600,82,58.89,5.65,57.2,9.17
38,disraeli,75,CA,1535666400,77,45.9,-71.36,60.8,3.36
39,qaanaaq,0,GL,1535670319,100,77.48,-69.36,32.45,2.73
40,kruisfontein,24,ZA,1535670409,88,-34.0,24.73,57.83,8.88
41,haines junction,12,CA,1535670415,52,60.75,-137.51,49.91,5.97
42,baruun-urt,0,MN,1535670344,49,46.68,113.28,62.69,8.21
43,barrow,88,AR,1535670229,58,-38.31,-60.23,45.68,11.45
44,gualeguaychu,92,AR,1535670539,74,-33.01,-58.51,52.88,22.53
